ID;lon;lat;all_tags;name;zip;address;city;WKT
1;13.37;52.53;DKV - TOTAL Station  10115 Berlin  Chausseestr. 61;TOTAL;10115;Chausseestr. 61;Berlin;POINT(13.3752222 52.5370079)
2;13.42;52.51;DKV - ARAL Station  10179 Berlin  Holzmarktstr. 12 - 14;ARAL;10179;Holzmarktstr. 12 - 14;Berlin;POINT(13.4218919 52.5140381)
3;13.42;52.51;DKV - CleanCar Station  10179 Berlin  Holzmarktstr. 5;CleanCar;10179;Holzmarktstr. 5;Berlin;POINT(13.420068 52.51453)
4;13.41;52.51;DKV - HEM Station  10179 Berlin  Holzmarktstr. 4;HEM;10179;Holzmarktstr. 4;Berlin;POINT(13.419633 52.514823)
5;13.42;52.51;DKV - TOTAL Station  10243 Berlin  Holzmarktstr. 36 - 42;TOTAL;10243;Holzmarktstr. 36 - 42;Berlin;POINT(13.4283684 52.5113173)
6;13.51;52.52;DKV - STAR Station  10315 Berlin  Rhinstr. 47;STAR;10315;Rhinstr. 47;Berlin;POINT(13.5191667 52.5225)
7;13.53;52.50;DKV - TAMOIL Station  10315 Berlin  Alt-Friedrichsfelde 61;TAMOIL;10315;Alt-Friedrichsfelde 61;Berlin;POINT(13.5310616 52.5096825)
8;13.50;52.48;DKV - TOTAL Station  10318 Berlin  Blockdammweg 6;TOTAL;10318;Blockdammweg 6;Berlin;POINT(13.50219 52.4829935)
9;13.52;52.49;DKV - JET Station  10319 Berlin  Am Tierpark 126;JET;10319;Am Tierpark 126;Berlin;POINT(13.524618 52.494977)
10;13.49;52.51;DKV - ARAL Station  10365 Berlin  Frankfurter Allee 214;ARAL;10365;Frankfurter Allee 214;Berlin;POINT(13.4937701 52.5115921)
11;13.50;52.53;DKV - CleanCar Station  10365 Berlin  Siegfriedstr. 80;CleanCar;10365;Siegfriedstr. 80;Berlin;POINT(13.502498 52.531842)
12;13.49;52.52;DKV - JET Station  10365 Berlin  Siegfriedstr. 179;JET;10365;Siegfriedstr. 179;Berlin;POINT(13.4994444 52.5216667)
13;13.48;52.52;DKV - JET Station  10365 Berlin  Herzbergstr. 27;JET;10365;Herzbergstr. 27;Berlin;POINT(13.488573 52.526311)
14;13.48;52.50;DKV - SHELL Station  10365 Berlin  Buchberger Str. 30;SHELL;10365;Buchberger Str. 30;Berlin;POINT(13.4840192 52.5064773)
15;13.49;52.52;DKV - STAR Station  10365 Berlin  Siegfriedstr. 170;STAR;10365;Siegfriedstr. 170;Berlin;POINT(13.4992522 52.5243322)
16;13.45;52.52;DKV - TOTAL Station  10369 Berlin  Storkower Str. 174;TOTAL;10369;Storkower Str. 174;Berlin;POINT(13.4583039 52.5275954)
17;13.41;52.52;DKV - TOTAL Station  10405 Berlin  Prenzlauer Allee 3;TOTAL;10405;Prenzlauer Allee 3;Berlin;POINT(13.417837 52.528675)
18;13.45;52.53;DKV - ELAN Station  10407 Berlin  Storkower Str. 116;ELAN;10407;Storkower Str. 116;Berlin;POINT(13.4510837 52.535515)
19;13.45;52.53;DKV - JET Station  10407 Berlin  Storkower Str. 130;JET;10407;Storkower Str. 130;Berlin;POINT(13.4525763 52.5339008)
20;13.44;52.53;DKV - SPRINT Station  10407 Berlin  Kniprodestr. 25;SPRINT;10407;Kniprodestr. 25;Berlin;POINT(13.444937 52.533838)
21;13.44;52.53;DKV - TOTAL Station  10407 Berlin  Margarete-Sommer-Str. 2;TOTAL;10407;Margarete-Sommer-Str. 2;Berlin;POINT(13.4414088 52.5306932)
22;13.32;52.53;DKV - ARAL Station  10553 Berlin  Beusselstr. 55;ARAL;10553;Beusselstr. 55;Berlin;POINT(13.3284365 52.5305845)
23;13.32;52.53;DKV - SHELL Station  10553 Berlin  Beusselstr. 44;SHELL;10553;Beusselstr. 44;Berlin;POINT(13.324885 52.53551)
24;13.33;52.52;DKV - ARAL Station  10555 Berlin  Levetzowstr. 9;ARAL;10555;Levetzowstr. 9;Berlin;POINT(13.3343534 52.5209099)
25;13.34;52.51;DKV - ESSO Station  10555 Berlin  Lessingstraße 4;ESSO;10555;Lessingstraße 4;Berlin;POINT(13.341412 52.519708)
26;13.36;52.53;DKV - TOTAL Station  10557 Berlin  Heidestr. 19;TOTAL;10557;Heidestr. 19;Berlin;POINT(13.3646611 52.5343443)
27;13.35;52.53;DKV - WESTFEHLING Station  10559 Berlin  Quitzowstr. 33;WESTFEHLING;10559;Quitzowstr. 33;Berlin;POINT(13.3509984 52.5353376)
28;13.30;52.51;DKV - STAR Station  10585 Berlin  Otto-Suhr-Allee 134;STAR;10585;Otto-Suhr-Allee 134;Berlin;POINT(13.3027321 52.5189616)
29;13.30;52.51;DKV - STAR Station  10585 Berlin  Kaiser-Friedrich-Str. 102;STAR;10585;Kaiser-Friedrich-Str. 102;Berlin;POINT(13.3007934 52.5171824)
30;13.31;52.51;DKV - ARAL Station  10625 Berlin  Bismarckstr. 2;ARAL;10625;Bismarckstr. 2;Berlin;POINT(13.3189745 52.5125771)
31;13.30;52.50;DKV - ARAL Station  10627 Berlin  Kaiser-Friedrich-Str. 45 b;ARAL;10627;Kaiser-Friedrich-Str. 45 b;Berlin;POINT(13.3019147 52.5076186)
32;13.28;52.49;DKV - ARAL Station  10711 Berlin  Kurfürstendamm 128;ARAL;10711;Kurfürstendamm 128;Berlin;POINT(13.2875707 52.4959047)
33;13.30;52.48;DKV - SHELL Station  10713 Berlin  Hohenzollerndamm 41;SHELL;10713;Hohenzollerndamm 41;Berlin;POINT(13.3068266 52.4884006)
34;13.31;52.47;DKV - SPRINT Station  10713 Berlin  Mecklenburgische Str. 76;SPRINT;10713;Mecklenburgische Str. 76;Berlin;POINT(13.313278 52.479428)
35;13.33;52.48;DKV - ESSO Station  10715 Berlin  Bundesallee 176;ESSO;10715;Bundesallee 176;Berlin;POINT(13.331537 52.486417)
36;13.31;52.49;DKV - SPRINT Station  10719 Berlin  Lietzenburger Str. 97;SPRINT;10719;Lietzenburger Str. 97;Berlin;POINT(13.319361 52.499448)
37;13.34;52.49;DKV - ESSO Station  10779 Berlin  Martin-Luther-Str. 67;ESSO;10779;Martin-Luther-Str. 67;Berlin;POINT(13.34559 52.490066)
38;13.35;52.47;DKV - SHELL Station  10829 Berlin  Sachsendamm 90;SHELL;10829;Sachsendamm 90;Berlin;POINT(13.3548719 52.4786198)
39;13.39;52.49;DKV - ESSO Station  10961 Berlin  Gneisenaustr. 104 - 106;ESSO;10961;Gneisenaustr. 104 - 106;Berlin;POINT(13.390687 52.492719)
40;13.37;52.50;DKV - TOTAL Station  10963 Berlin  Tempelhofer Ufer 34;TOTAL;10963;Tempelhofer Ufer 34;Berlin;POINT(13.376734 52.500379)
41;13.38;52.48;DKV - ARAL Station  10965 Berlin  Dudenstr. 19;ARAL;10965;Dudenstr. 19;Berlin;POINT(13.3814619 52.4849241)
42;13.37;52.48;DKV - JET Station  10965 Berlin  Kreuzbergstr. 42a;JET;10965;Kreuzbergstr. 42a;Berlin;POINT(13.3740284 52.4882497)
43;13.40;52.50;DKV - ARAL Station  10969 Berlin  Prinzenstr. 29;ARAL;10969;Prinzenstr. 29;Berlin;POINT(13.4094085 52.5017932)
44;13.44;52.49;DKV - ARAL Station  10997 Berlin  Vor dem Schlesischen Tor 2;ARAL;10997;Vor dem Schlesischen Tor 2;Berlin;POINT(13.4497993 52.4968646)
45;13.42;52.49;DKV - ARAL Station  10999 Berlin  Skalitzer Str. 26;ARAL;10999;Skalitzer Str. 26;Berlin;POINT(13.4233238 52.498956)
46;13.42;52.48;DKV - SPRINT Station  12043 Berlin  Reuterstr. 18;SPRINT;12043;Reuterstr. 18;Berlin;POINT(13.42933 52.48461)
47;13.44;52.48;DKV - ARAL Station  12045 Berlin  Sonnenallee 113;ARAL;12045;Sonnenallee 113;Berlin;POINT(13.4414068 52.4812333)
48;13.42;52.48;DKV - ESSO Station  12047 Berlin  Sonnenallee 9;ESSO;12047;Sonnenallee 9;Berlin;POINT(13.42681 52.487455)
49;13.46;52.46;DKV - ARAL Station  12057 Berlin  Grenzallee 6;ARAL;12057;Grenzallee 6;Berlin;POINT(13.4622175 52.4692031)
50;13.44;52.46;DKV - JET Station  12057 Berlin  Karl-Marx-Str. 259;JET;12057;Karl-Marx-Str. 259;Berlin;POINT(13.442765 52.465619)
51;13.44;52.46;DKV - SHELL Station  12057 Berlin  Karl-Marx-Str. 267;SHELL;12057;Karl-Marx-Str. 267;Berlin;POINT(13.4428188 52.4652704)
52;13.39;52.45;DKV - HOYER Automatenstation  12099 Berlin  Ordensmeisterstr. 24 - 29;HOYER Automaten;12099;Ordensmeisterstr. 24 - 29;Berlin;POINT(13.397846 52.458519)
53;13.38;52.48;DKV - ESSO Station  12101 Berlin  Tempelhofer Damm 20;ESSO;12101;Tempelhofer Damm 20;Berlin;POINT(13.385317 52.481391)
54;13.37;52.47;DKV - ARAL Station  12103 Berlin  Schöneberger Str. 19;ARAL;12103;Schöneberger Str. 19;Berlin;POINT(13.3710394 52.4701775)
